,Filmes,ano,Nota,Diretores e Roteiristas
191,Quando Duas Mulheres Pecam,1966,8.1,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann"
192,Antes do Amanhecer,1995,8.1,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
193,Mary e Max: Uma Amizade Diferente,2009,8.1,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman"
194,Prenda-me se for Capaz,2002,8.1,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks"
195,Duna,2021,8.1,"Denis Villeneuve (dir.), Timothée Chalamet, Rebecca Ferguson"
196,A Mulher Faz o Homem,1939,8.1,"Frank Capra (dir.), James Stewart, Jean Arthur"
197,Barry Lyndon,1975,8.1,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson"
198,Em Nome do Pai,1993,8.1,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite"
199,Z,1969,8.1,"Costa-Gavras (dir.), Yves Montand, Irene Papas"
200,Até o Último Homem,2016,8.1,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington"
201,Garota Exemplar,2014,8.1,"David Fincher (dir.), Ben Affleck, Rosamund Pike"
202,O Quarto de Jack,2015,8.1,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay"
203,O Martírio de Joana D'Arc,1928,8.1,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain"
204,Assassinato às Cegas,2018,8.1,"Sriram Raghavan (dir.), Ayushmann Khurrana, Tabu"
205,Ford vs Ferrari,2019,8.1,"James Mangold (dir.), Matt Damon, Christian Bale"
206,12 Anos de Escravidão,2013,8.1,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams"
207,Ser ou Não Ser,1942,8.1,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny"
208,O Grande Lebowski,1998,8.1,"Joel Coen (dir.), Jeff Bridges, John Goodman"
209,Sociedade dos Poetas Mortos,1989,8.1,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard"
210,Harry Potter e as Relíquias da Morte - Parte 2,2011,8.1,"David Yates (dir.), Daniel Radcliffe, Emma Watson"
